school,date,amount,sport,deal_description,is_social_media
ucsantabarbara,2024,500.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2023,2000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,500.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2021,500.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2023,1000.0,Basketball,	Other,0
ucsantabarbara,2021,800.0,Basketball,	Other,0
ucsantabarbara,2023,500.0,Basketball,	Other,0
ucsantabarbara,2021,500.0,Basketball,	Autograph Session,0
ucsantabarbara,2023,500.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,1000.0,Basketball,	Other,0
ucsantabarbara,2024,5000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2021,5000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,1000.0,Basketball,	Other,0
ucsantabarbara,2021,800.0,Basketball,	Other,0
ucsantabarbara,2022,2000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,2000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2023,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2023,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2021,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2021,1000.0,Basketball,	Other,0
ucsantabarbara,2024,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,500.0,Basketball,	Outside Camp,0
ucsantabarbara,2024,1600.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,400.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,1000.0,Basketball,	Other,0
ucsantabarbara,2024,2000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2021,500.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,1000.0,Basketball,	Other,0
ucsantabarbara,2022,800.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2024,1000.0,Basketball,	Appearance without autographs,0
ucsantabarbara,2022,500.0,Basketball,	Appearance without autographs,0
