Program,March 2024,April 2024,August 2024,September 2024,October 2024,November 2024,December 2024,Grand Total
CSU Bakersfield - NCAA Softball,,,$157.32,$317.74,$946.65,$198.57,$58.48,"$1,678.76"
CSU Bakersfield - NCAA Men's Basketball,,,$880.22,$58.49,,$125.98,,"$1,064.69"
CSU Bakersfield - NCAA Women's Basketball,,,$164.49,,$109.99,$777.56,,"$1,052.04"
CSU Bakersfield - NCAA Men's Track & Field,,,$199.35,$647.78,,,,$847.13
CSU Bakersfield - NCAA Women's Volleyball,$243.86,$65.42,$184.79,,$119.97,,,$614.04
CSU Bakersfield - NCAA Baseball,,$164.23,$81.18,,,$96.04,,$341.45
CSU Bakersfield - NCAA Wrestling,,,$61.12,,$209.95,,,$271.07
CSU Bakersfield - NCAA Beach Volleyball,,$51.29,,,,,$169.77,$221.06
,,,,,,,$149.99,$149.99
CSU Bakersfield - NCAA Men's Swimming & Diving,,,,,$142.97,,,$142.97
CSU Bakersfield - NCAA Women's Track & Field,,,$89.66,,,$41.79,,$131.45
CSU Bakersfield - NCAA Men's Soccer,,,$58.44,,,,,$58.44
