Year,Sport,Cost
2021-22,MBA,$40
2021-22,MBA,$5
2021-22,MBA,$5
2021-22,MBB,$25.00
2021-22,MBB,$30.00
2021-22,MBB,$50.00
2021-22,MBB,$50.00
2021-22,MBB,$50.00
2021-22,MBB,$500.00
2021-22,MBB,$30
2021-22,MBB,"$3,000"
2021-22,MBB,$25
2021-22,MBB,$13
2021-22,MBB,$25
2021-22,MBB,$25
2021-22,MBB,$25
2021-22,MBB,$13
2021-22,MBB,$25
2021-22,MBB,$13
2021-22,MBB,$25
2021-22,MBB,$13
2021-22,MBB,$25
2021-22,MBB,$25
2021-22,MBB,$13
2021-22,MBB,$25
2021-22,MBB,$500
2021-22,MBB,$36
2021-22,MBB,$30
2021-22,MBB,$50
2021-22,MBB,$25
2021-22,MFB,$5.00
2021-22,MFB,$30.00
2021-22,MFB,$30.00
2021-22,MFB,$50.00
2021-22,MFB,$50.00
2021-22,MFB,$100.00
2021-22,MFB,$150.00
2021-22,MFB,$200.00
2021-22,MFB,$200.00
2021-22,MFB,$400.00
2021-22,MFB,$500.00
2021-22,MFB,$500.00
2021-22,MFB,$500.00
2021-22,MFB,$600.00
2021-22,MFB,$900.00
2021-22,MFB,"$1,000.00"
2021-22,MFB,"$1,000.00"
2021-22,MFB,"$1,000.00"
2021-22,MFB,"$1,062.50"
2021-22,MFB,"$1,500.00"
2021-22,MFB,"$1,500.00"
2021-22,MFB,"$1,500.00"
2021-22,MFB,"$3,000.00"
2021-22,MFB,"$4,000.00"
2021-22,MFB,"$6,500.00"
2021-22,MFB,"$12,500.00"
2021-22,MFB,"$23,000.00"
2021-22,MFB,$750 one time
2021-22,MFB,10$ a shirt
2021-22,MFB,2000 per month
2021-22,MFB,$30
2021-22,MFB,$5
2021-22,MFB,$30
2021-22,MFB,$30
2021-22,MFB,$30
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$30
2021-22,MFB,$50
2021-22,MFB,$30
2021-22,MFB,$30
2021-22,MFB,$30
2021-22,MFB,$30
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$50
2021-22,MFB,$25
2021-22,MFB,$5
2021-22,MFB,$5
2021-22,MFB,$40
2021-22,MFB,$10
2021-22,MFB,$10
2021-22,MFB,$50
2021-22,MFB,$900
2021-22,MFB,$10
2021-22,MFB,$25
2021-22,MFB,$25
2021-22,MFB,$25
2021-22,MFB,$10
2021-22,MFB,$55
2021-22,MFB,$55
2021-22,MFB,$55
2021-22,MFB,$55
