Sport,Name,Vendor,Transactions,Value
Gymnastics,,Greg Roeszler,Playmake Day for Kids with Developmental Differences,$300
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Gymnastics,,Savannah Bananas,Savanah Bananas Work,$568
Football,,Nutra Bolt,C4 Energy Pre-Workout,$100
Football,,Greg Roeszler,Playmake Day for Kids with Developmental Differences,$300
Gymnastics,,Adidas,Content,$300
Gymnastics,,Greg Roeszler,Playmake Day for Kids with Developmental Differences,$300
Baseball,,Boujee Batz,Baseball Bat,$100
Baseball,,Great White Wood Works,-,$120
Softball,,iHerb,iHerb Campaign,$150
Softball,,Psd and Postgame,PSD Collab,$150
Women's Tennis,,Adidas,Campaign,$200
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Baseball,,Natomas Park Elementary,Autograph Signing,$10
Gymnastics,,Snowflake Designs,Signature Leotard Design,$10
Softball,,Steve Madden,Steve Madden x Postgame,$199.99
Football,,Aftermath Sports,Brand Ambassador,$0
Baseball,,Vencer.co,Care Package,$105
Football,,Stephen Patterson,Red Zone Offensive Strategies,$500
Gymnastics,,Snowflake Designs,Signature Leotard Design,$10
Softball,,Reed,otbubble player shirt,$35
Softball,,CVS Pharmacy,CVS Giftcard,$50
Softball,,postgame,postgame tee shirt post,$23
Football,,Stephen Patterson,QB Post Game Analysis,$500
Football,,Stephen Patterson,QB Post Game Analysis,$500
Men's Soccer,,cvy.co,Insta Post,$50
Softball,,Alani Nu,Social Media post for alani nu,$150
Football,,Stephen Patterson,Advanced Quarterback Pre Snap Reads 1.0,$500
Football,,Stephen Patterson,Advanced Quarterback Pre Snap Reads 1.0,$500
Football,,Stephen Patterson,Advanced Quarterback Pre Snap Reads 1.0,$500
Softball,,Giants Community Fund,Social Media Post,$30
Softball,,postgame,100 bonues,$100
Softball,,Adidas,instagram/post reel,$130
Football,,Casazza Chiropractic,Chiropractic Service,$80
Football,,Stephen Patterson,Football Offense 101,$500
Football,,Stephen Patterson,Football Offense 101,$500
Football,,Stephen Patterson,Football Offense 101,"$1,000"
