Date,Sport,Total Value of Reported Deals
1/1/21 - 6/30/22,FB,"$15,928"
1/1/21 - 6/30/22,WTR,"$2,735"
1/1/21 - 6/30/22,XC,"$2,695"
1/1/21 - 6/30/22,WSO,$610
1/1/21 - 6/30/22,SB,$580
1/1/21 - 6/30/22,MGO,$570
1/1/21 - 6/30/22,MSO,$500
1/1/21 - 6/30/22,WGO,$500
1/1/21 - 6/30/22,WTE,$300
1/1/21 - 6/30/22,WSW,$230
1/1/21 - 6/30/22,WWP,$215
1/1/21 - 6/30/22,VB,$215
1/1/21 - 6/30/22,BA,$210
1/1/21 - 6/30/22,MBB,$185
1/1/21 - 6/30/22,WBB,$170
1/1/21 - 6/30/22,MTE,$50
1/1/21 - 6/30/22,LAX,$30
7/1/22 - 6/30/23,MBB,"$219,450"
7/1/22 - 6/30/23,FB,"$37,059"
7/1/22 - 6/30/23,WTR,"$14,036"
7/1/22 - 6/30/23,XC,"$13,511"
7/1/22 - 6/30/23,SB,$810
7/1/22 - 6/30/23,VB,$778
7/1/22 - 6/30/23,WSO,$710
7/1/22 - 6/30/23,WGO,$550
7/1/22 - 6/30/23,WBB,$485
7/1/22 - 6/30/23,MSO,$335
7/1/22 - 6/30/23,MSO,$298
7/1/22 - 6/30/23,WTE,$250
7/1/22 - 6/30/23,BA,$100
7/1/22 - 6/30/23,MTE,$75
7/1/23- 6/30/24,FB,"$8,704"
7/1/23- 6/30/24,MBB,"$5,699"
7/1/23- 6/30/24,WBB,"$2,745"
7/1/23- 6/30/24,BA,"$1,381"
7/1/23- 6/30/24,MSO,"$1,262"
7/1/23- 6/30/24,SB,$805
7/1/23- 6/30/24,WSO,$658
7/1/23- 6/30/24,WTR,$584
7/1/23- 6/30/24,XC,$387
7/1/23- 6/30/24,VB,$258
7/1/23- 6/30/24,WWP,$60
7/1/23- 6/30/24,LAX,$20
7/1/23- 6/30/24,WSW,$10
7/1/24- 1/8/25,FB,"$71,586"
7/1/24- 1/8/25,SB,"$5,430"
7/1/24- 1/8/25,WSO,"$4,359"
7/1/24- 1/8/25,WBB,"$3,607"
7/1/24- 1/8/25,MSO,"$2,097"
7/1/24- 1/8/25,VB,"$1,678"
7/1/24- 1/8/25,WTR,"$1,608"
7/1/24- 1/8/25,XC,"$1,598"
7/1/24- 1/8/25,MBB,"$1,564"
7/1/24- 1/8/25,BA,$870
7/1/24- 1/8/25,LAX,$650
7/1/24- 1/8/25,WSW,$50
