Sport Type,Transaction ID,Transaction Type,Cost,Payment Type,Vendor Name,Vendor Point of Contact,Submitted Date
Swimming/Diving (Womens),HumanN Influencer Package,Social Media,$79.26,product,HumanN,Andrew Tuchow,1/2/2022
Gymnastics (Womens),bang energy,Social Media,$100.00,product,Bang energy,Bang,6/24/2022
Gymnastics (Womens),Amazon Affiliate,Other,$0.00,cash,Amazon Affiliate,Online,6/30/2022
Gymnastics (Womens),tik tok featuring a brand,Social Media,$200.00,cash,Popcorn delivery app,Morgan Sosic,6/13/2022
Track and Field (Mens),HoneyPlum Clothing Brand Deal,Social Media,$50.00,product,Honey Plum Clothing,The Ambassador,6/6/2022
Track and Field (Mens),Popcorn Brand Deal,Social Media,$420.00,cash,Popcorn,Morgan Sosic,6/6/2022
Basketball (Womens),Kids Camp,Camps and Lessons,$200.00,cash,Az Family Over Everything,Benjamin Tanner,5/15/2022
Basketball (Womens),Mnml.la,Public Appearance,$0.00,product,Mnml.la,Tatiana Evans,5/28/2022
Basketball (Womens),Brand Ambassador,Social Media,$500.00,product,MNML.LA,Tatiana Evans,5/29/2022
Water Polo (Womens),Guyaki Yerba Mate,Social Media,$30.00,product,Guyaki Yerba Mate,Guyaki,5/10/2022
Track and Field (Mens),Suburban Hood,Representation Disclosure,$100.00,product,Ace Suburb,Ace Suburb,5/11/2022
Business,GoTrax Scooter,Social Media,$750.00,product,GoTrax (a division of Swagtron),Jason Wakefield,5/12/2022
Swimming/Diving (Mens),Instagram Story,Social Media,$100.00,product,Bobo's,Beryl Stafford,4/16/2022
Gymnastics (Womens),ambassador prigram,Social Media,$0.00,cash,Stackwell Capital,Kira Farris,3/27/2022
Swimming/Diving (Mens),Instagram post,Social Media,$65.00,product,Chike Coffee,Ashley Truong,3/19/2022
Swimming/Diving (Mens),Instagram Post,Social Media,$45.00,product,Oat Haus,Molly Clarke,3/20/2022
Basketball (Womens),Wizeprep,Social Media,$500.00,cash,Wizeprep,Nate Behar,3/9/2022
Baseball,NIL Deal,Representation Disclosure,$270.00,cash,Doctor's Touch,Giloh Morgan,3/14/2022
Gymnastics (Womens),Leo And Post,Social Media,$250.00,cash,Ozone Leotards,Nicole Radon,3/25/2022
Swimming/Diving (Mens),bushbalm story post,Social Media,$68.00,product,bushbalm,megan,3/5/2022
Basketball (Womens),Wingstop Campaign,Social Media,"$10,000.00",cash,Wingstop,Steven Austin,4/1/2022
Basketball (Womens),Michelle Onyiah,Social Media,"$2,450.00",product,Overtime,Overtimefits,5/5/2022
Basketball (Womens),Brand Partnership,Business Ownership/Creation,$45.00,cash,Courtsmith,Courtney Smith,4/3/2022
Basketball (Womens),Promo,Social Media,$500.00,cash,Wize,Nathanial Behar,4/1/2022
Gymnastics (Womens),Hilo Vitamins,Social Media,$75.00,product,Hilo Gummies,Hilogummies,3/1/2022
Baseball,Rep 1 NIL Agreement,Other,$0.00,cash,Nate Heisler,Rep 1 Sports,3/28/2022
Baseball,Gigg Video,Social Media,$500.00,cash,Gigg,Scott Warner,2/16/2022
Rowing (Womens),Ambassador,Social Media,"$1,200.00",cash,Amazon Prime Student through Riddle and Bloom,Matthew Ragain,2/10/2022
Baseball,Promotion,Social Media,$500.00,cash,Gigg,Scott warner,2/4/2022
Baseball,Social Media Post,Social Media,$500.00,cash,Gigg,Scott Warner,2/3/2022
Swimming/Diving (Womens),Leaf Shave,Social Media,$600.00,cash,Leaf Shave,Brooke Foley,1/18/2022
Baseball,Gigg,Social Media,$500.00,cash,Gigg,Scott Warner,2/1/2022
Baseball,Video Sponsorship,Social Media,$500.00,cash,Gig,Scott Warner,2/1/2022
Baseball,Mitch Benson,Social Media,$500.00,cash,Gigg,Scott Warner,2/2/2022
Baseball,Video Sponsorship,Social Media,$500.00,cash,Gigg,Scott Warner,2/2/2022
Volleyball (Beach),Olipop,Social Media,$85.99,cash,Olipop,98 Strong,2/18/2022
Gymnastics (Womens),honey stinger package,Social Media,$30.00,product,honey stinger,honey stinger,2/1/2022
Baseball,Gigglife,Social Media,$500.00,cash,Gigglife,Scott Warner,2/1/2022
Volleyball (Beach),Discount on Products,Other,$0.00,cash,Vuori,Vuori Clothing,2/1/2022
Gymnastics (Womens),Erin Photoshoot,Social Media,$500.00,cash,Erin,Dave Eaton,2/6/2022
Baseball,Video,Social Media,$500.00,cash,Gigg,Scott Warner,2/2/2022
Baseball,NFT Creation,Business Ownership/Creation,$0.00,cash,Campus Legends,Patric Young,1/25/2022
Gymnastics (Womens),Photoshoot,Other,$500.00,cash,Erin Leos,Dave Eatin,2/8/2022
Swimming/Diving (Womens),Suja Juice,Social Media,$100.00,product,Suja Juice,Suja juice,1/21/2022
Gymnastics (Womens),Instagram promo,Social Media,$25.00,product,LiquidIV,LiquidIv,1/14/2022
Volleyball (Beach),Liquid IV,Social Media,$60.00,cash,Liquid IV,Brenda Valle,1/7/2022
Cross Country,Team Nuun Ambassador Program,Social Media,$15.00,product,Nuun Hydration,Melia Shumate,1/11/2022
Volleyball (Womens),Brand rep,Social Media,$30.00,product,Bang Energy,Affiliate,1/3/2022
Swimming/Diving (Mens),Liquid I.V Athlete Program,Social Media,$80.00,product,Liquid I.V.,Brenda Valle,12/24/2021
Swimming/Diving (Mens),FitAid Drinks,Social Media,$55.00,product,FitAid,Brice McAllister,1/17/2022
Baseball,NIL Sponsorship,Social Media,"$4,500.00",cash,MyTotalWellness,Jameson Jenkins,12/20/2021
Business,Shock Doctor Product Deal,Social Media,$100.00,product,Shock Doctor,Eli Miller,12/21/2021
Business,True Classic Tees,Social Media,$60.00,product,True Classic,Hailey Stenberg,12/20/2021
Basketball (Womens),Afterpay,Social Media,"$7,200.00",cash,Afterpay Usa,Rick Bhatia,12/17/2021
Soccer (Womens),Gmail,Social Media,$25.00,product,Honey Stinger,Luke Cherry,12/15/2021
Swimming/Diving (Mens),Towels,Social Media,$20.00,product,Tortilla Towel,Tortilla_towel (instagram),12/6/2021
Water Polo (Womens),social media posts,Social Media,$100.00,product,Bright Swimwear,Ann,12/10/2021
Basketball (Womens),Quizlet,Social Media,"$15,000.00",cash,Quizlet,Rick Bhatia,12/7/2021
Basketball (Mens),Sign Up,Other,$50.00,cash,Stipend,Rush Feldhacker,2/11/2022
Lacrosse (Womens),GNC Partner,Social Media,$100.00,cash,GNC,Brooke,11/29/2021
Gymnastics (Womens),Product promotion and review,Social Media,$65.00,cash,Loving Tan,Eliza,11/27/2021
Basketball (Mens),98strong,Social Media,$50.00,cash,98strong,Andrew Mavis,11/24/2021
Lacrosse (Womens),After Bar Athlete,Social Media,$100.00,product,After Bar,Alex,11/23/2021
Football,Instagram Post,Social Media,$50.00,cash,98strong,Andrew Mavis,11/29/2021
Basketball (Mens),Spartan Race,Social Media,$100.00,cash,Spartan,Maria Pedone,11/24/2021
Gymnastics (Womens),Clothing,Other,$125.00,product,Ozone,Nicole Radon,12/1/2021
