Academic Year,Sport,Vendor,Amount,Brief Description
2021-22,Volleyball,Lola Getts,$300,Photo shoot/social media
2021-22,Women's Track,My Luxe,"10% commission , 100$ worth of clothes every 5 orders with code",Social media posts in exchange for commission on sales.
2021-22,Gymnastics,Turn | Erin brand,$500,Social media posts in exchange for commission on sales.
2021-22,Women's Basketball,US Cryotherapy,Product,Social media posts in exchange for commission on sales.
2021-22,Football,Prodigy inc.,"$3,000",Social media posts in exchange for commission on sales.
2021-22,Women's Basketball,Hoop Focus,To be determined - sponsorship payments can vary depending on packages companies purchase.,Social media posts in exchange for commission on sales.
2021-22,Football,Quokka Brew,10% of sales,Social media posts in exchange for commission on sales.
2021-22,Women's Basketball,Campus Mogul,merchandise sales,Social media posts in exchange for commission on sales.
2021-22,Women's Basketball,Print for Players,50% of profit,Social media posts in exchange for commission on sales.
2021-22,Women's Cross Country,Nuun Hydration,Discount on products,Social media posts in exchange for discount
2021-22,Football,US CRYOTHERAPY,Premium Pass,Social media posts in exchange for pass
2021-22,Men's Track,US CRYOTHERAPY,$40x session,Social media posts in exchange for pass
2021-22,Men's Basketball,US Cryotherapy,Free product,Social media posts in exchange for pass
2021-22,Men's Track,Evogen Nutrition,10% commission per Sale,Social media posts in exchange for pass
2021-22,Women's Outdoor Track & Field,Liquid IV,Product,Social media posts in exchange for product
2021-22,Women's Golf,Liquid I.V.,$0,Social media posts in exchange for product
2021-22,Men's Soccer,FireFly Recovery,0,Social media posts in exchange for product
2021-22,Women's Swimming & Diving,SwimOutlet,Swag,Social media posts in exchange for swag
2022-23,Equestrian,"NIL Store, Campus Ink",Campus Ink,% of apparel sales
2022-23,Women's Volleyball,OMNI Volleyball Club,$50 per hour of clinic,Clinic payment.
2022-23,Men's Basketball,Elijah pepper- basketball workouts,25$ per kid per 1 hour,Operating own camp.
2022-23,Football,Self Owned Camp,0,Operating own camp.
2022-23,Football,Next Fan,Appearance,Payment for appearance
2022-23,Men's Basketball,Lifestyle Bands,10% of sales,Social media posts in exchange for commission on sales.
2022-23,Football,Adidas,Commission on sales,Social media posts in exchange for commission on sales.
2022-23,Men's Basketball,Athletezone,0,Social media posts in exchange for commission on sales.
2022-23,Football,Prodigy Healthcare inc.,1500,Social media posts in exchange for money.
2022-23,Men's Basketball,Azzarenko,$100,Social media posts in exchange for money.
2022-23,Men's Basketball,Blue Stripe Sports,5,Social media posts in exchange for money.
2022-23,Football,Champions the movie,75,Social media posts in exchange for money.
2022-23,Equestrian,Ollipop,50,Social media posts in exchange for money.
2022-23,Women's Basketball,Insomnia Cookies,$150,Social media posts in exchange for money.
2022-23,Equestrian,98 Strong,100,Social media posts in exchange for money.
2022-23,Women's Basketball,Crocs,Product,Social media posts in exchange for product
2022-23,Women's Golf,Liquid I.V.,Product,Social media posts in exchange for product
2022-23,Football,Redcon1,Product,Social media posts in exchange for product
2022-23,Track & Field,Liquid I.V.,Product,Social media posts in exchange for product
2022-23,Men's Golf,Liquid IV,Product,Social media posts in exchange for product
2022-23,Women's Swimming & Diving,Liquid IV,Product,Social media posts in exchange for product
2022-23,Football,Exway,Product,Social media posts in exchange for product
2022-23,Equestrian,Celsius Official,Product,Social media posts in exchange for product
2022-23,Women's Golf,Liquid I.V.,Product,Social media posts in exchange for product
2022-23,Men's Basketball,Shirt Sales,25 per person,T-shirt sales at camp.
2022-23,Men's Basketball,No business,25$ a shirt,T-shirt sales at camp.
2023-24,Women's Golf,Adidas,$0.00,Adidas NIL Ambassador
2023-24,Women's Golf,Adidas/Postgame,$0.00,Adidas NIL Ambassador
2023-24,Football,Campus Ink,$62.00,% of apparel sales
2023-24,Women's Soccer,Campus Ink,$126.00,% of apparel sales
2023-24,Football,Campus Ink,$62.00,% of apparel sales
2023-24,Volleyball,Campus Ink,$58.20,% of apparel sales
2023-24,Football,Campus Ink,$170.00,% of apparel sales
2023-24,Football,Campus Ink,$73.00,% of apparel sales
2023-24,Lacrosse,Campus Ink,$66.00,% of apparel sales
2023-24,Football,Campus Ink,$62.00,% of apparel sales
2023-24,Volleyball,Campus Ink,$58.00,% of apparel sales
2023-24,Football,Campus Ink,$60.00,% of apparel sales
2023-24,Football,Campus Ink,$51.00,% of apparel sales
2023-24,Football,Campus Ink,$57.00,% of apparel sales
2023-24,Women's Soccer,Campus Ink,$52.00,% of apparel sales
2023-24,Football,Campus Ink,$80.00,% of apparel sales
2023-24,Volleyball,Campus Ink,$90.00,% of apparel sales
2023-24,Football,Campus Ink,$116.00,% of apparel sales
2023-24,Football,Campus Ink,$103.00,% of apparel sales
2023-24,Lacrosse,NIL Store/Campus Ink,$30.00,% of apparel sales
2023-24,Men's Water Polo,Campus Ink,$10.00,% of apparel sales
2023-24,Equestrian,Campus Ink,$42.00,% of apparel sales
2023-24,Softball,Campus Ink,$18.00,% of apparel sales
2023-24,Football,Campus Ink,$34.00,% of apparel sales
2023-24,Beach Volleyball,Campus Ink,$28.00,% of apparel sales
2023-24,Baseball,Campus Ink,$46.00,% of apparel sales
2023-24,Women's Basketball,Campus Ink,$26.00,% of apparel sales
2023-24,Baseball,Campus Ink,$30.00,% of apparel sales
2023-24,Beach Volleyball,Campus Ink,$36.00,% of apparel sales
2023-24,Gymnastics,Campus Ink,$36.00,% of apparel sales
2023-24,Softball,Campus Ink,$34.00,% of apparel sales
2023-24,Baseball,Campus Ink,$36.00,% of apparel sales
