Team,Year,Total NIL,Funds from a Collective,Notes
MBA,2021-22,"$1,030.00",,
MBB,2021-22,$150.00,,
MGO,2021-22,,,
MFE,2021-22,,,
MRO,2021-22,,,Received Liquid IV Products (Value Unknown)
MSO,2021-22,$100.00,,
MSW,2021-22,$400.00,,
MTE,2021-22,$50.00,,
MTR/XC,2021-22,"$2,675.00",,Students also reported receiving products but value unknown
MVB,2021-22,$500.00,,
MWP,2021-22,,,
WBB,2021-22,,,
WFE,2021-22,,,
WRO,2021-22,,,
WSB,2021-22,$400.00,,
WSO,2021-22,,,
WSW,2021-22,,,
WTE,2021-22,$169.00,,
WTR/XC,2021-22,,,
WVB,2021-22,$185.00,,
WWP,2021-22,,,
MBA,2022-23,"$2,700.00",,
MBB,2022-23,,,
MGO,2022-23,,,
MFE,2022-23,,,
MRO,2022-23,,,Received Products from Forstars Podcast (Value Unknown)
MSO,2022-23,,,
MSW,2022-23,,,
MTE,2022-23,,,
MTR/XC,2022-23,,,Received Liquid IV Products (Value Unknown)
MVB,2022-23,,,Received products from Suja Organic & Liquid IV (Value Unknown)
MWP,2022-23,,,
WBB,2022-23,,,
WFE,2022-23,,,
WRO,2022-23,,,
WSB,2022-23,$175.00,,
WSO,2022-23,,,
WSW,2022-23,,,
WTE,2022-23,,,
WTR/XC,2022-23,,,
WVB,2022-23,,,
WWP,2022-23,,,
MBA,2023-24,$204.27,,
MBB,2023-24,$293.60,,Students Received Oakley sunglasses (Value unknown)
MGO,2023-24,,,
MFE,2023-24,,,
MRO,2023-24,,,
MSO,2023-24,$7.76,,
MSW,2023-24,,,
MTE,2023-24,,,Received Mountain Dew Energy Drink Products (Value Unknown)
MTR/XC,2023-24,$206.75,,
MVB,2023-24,$173.57,,
MWP,2023-24,,,
WBB,2023-24,$288.84,,
WFE,2023-24,,,
WRO,2023-24,,,
WSB,2023-24,$290.15,,
WSO,2023-24,$80.97,,
WSW,2023-24,,,
WTE,2023-24,,,
WTR/XC,2023-24,$50.00,,
WVB,2023-24,,,
WWP,2023-24,,,
MBA,2024-25,$173.53,,
MBB,2024-25,"$166,635.41","$165,000.00","cumulative, multiple athletes received this money"
MGO,2024-25,,,
MFE,2024-25,,,
MRO,2024-25,$62.68,,
MSO,2024-25,$98.18,,
MSW,2024-25,$37.49,,
MTE,2024-25,$148.86,,
MTR/XC,2024-25,$168.52,,
MVB,2024-25,$27.35,,
MWP,2024-25,$285.50,,
WBB,2024-25,$293.49,,
WFE,2024-25,,,
WRO,2024-25,$28.68,,
WSB,2024-25,$306.60,,
WSO,2024-25,$346.52,,
WSW,2024-25,$318.96,,
WTE,2024-25,,,
WTR/XC,2024-25,,,
WVB,2024-25,,,
WWP,2024-25,,,
