Last Update Date,Current Task Name,Academic Year,Sport,Name of your institution:,University ID:,"Upload Agreement (text, DM, email, contract, etc)",Name of business or location of event,Name of your point of contact at the business:,Phone Number for your point of contact:,Email Address for your point of contact:,Type of Endorsement:,Please describe other,"Date(s) of activity (i.e. what date range will you post the tweet(s), when will the appearance be?):","If social media, please include the platform (twitter, instagram, tik tok, etc) and handle/account name:","How many posts will you be utilizing, please explain",Method of Payment (Select All That Apply):,Please describe other,"Proposed Payment Amount (i.e. $5 per post, $500 per appearance, etc.):"
7/19/21 11:29,Approved,2021-22,Men's Swimming & Diving,	UC Santa Barbara,,PopID (Athlete)  (1).pdf,	PopID,,,,	Social Media,,	current to end of 2022,,	once a week on instagram,	Other,	PopID credits,	500 dollars until school starts
7/20/21 8:10,Approved,2021-22,Men's Basketball,	UC Santa Barbara,,PopID (Athlete) .pdf,	Pop Pay,,,,	Social Media,,	throughout summer,	all platforms possible,	I will be posting at least once a week throughout the summer,	Other,	electronic compensation,	$500 for the summer
7/29/21 16:45,Approved,2021-22,Men's Soccer,	UC Santa Barbara,,Rhone Affiliate Program .pdf,	Rhone,,,,	Social Media,,	Monthly,	Instagram & Twitter,	2 Instagram feed posts per month.,"	Venmo (or other electronic payment),Product",,"	Commission-based (10% commission from the sales generated from my 15% discount code). Please note that this is not a contractual relationship, no contract is being signed. This is an Ambassador/Affiliate type of partnership that can be terminated at any point."
7/29/21 16:47,Approved,2021-22,Men's Soccer,	UC Santa Barbara,,"C4, Cellucor, XTEND Ambassador Program.pdf","	C4, Cellucor, XTEND",,,,	Social Media,,"	Monthly, throughout 2021-2022",	Instagram & Twitter,"	2 Instagram feed posts, 2 Instagram stories per month.","	Venmo (or other electronic payment),Product",,"	Commission-Based (no more than 10% of all sales from my referral link/discount code). Please note that this is not a contractual relationship, no contract is being signed. This is an Ambassador/Affiliate type of partnership that can be terminated at any point."
8/8/21 9:42,Approved,2021-22,Women's Basketball,	UC Santa Barbara,,Please_DocuSign_For_The_Culture_Influencer_A.pdf,	For The Culture,,,,	Social Media,,	N/A,	N/A,	N/A,	Venmo (or other electronic payment),,	15% of sales
8/8/21 9:42,Approved,2021-22,Women's Basketball,	UC Santa Barbara,,Please_DocuSign_For_The_Culture_Influencer_A (1).pdf,	For The Culture,,,,	Social Media,,	N/A,	N/A,	N/A,	Venmo (or other electronic payment),	Bank Account,	15% of sales
8/10/21 16:16,Approved,2021-22,Men's Water Polo,	UC Santa Barbara,,Fwd_ PopPay Media Shoot Tomorrow.eml,	Poppay,,,,	Social Media,,	within the next two weeks,(instagram),	unsure yet,	Product,,	$250 for endorsing on instagram and potential additional funds for future endorsements
8/12/21 10:10,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,madhippie nil .pdf,	Mad Hippie,,,,	Social Media,	Product,	All Year Long,	instagram/ ,	I will probably do 5-10 posts!,	Product,,	0$ just product
8/12/21 10:11,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,iwa company nil.pdf,	Iwa Company,,,,	Social Media,,	Every time I wear the gear,	instagram/,	I will try and utilize 10 posts about the ʻIwa Company wearing their fitness clothing line.,	Product,,	0$ product only
8/12/21 17:36,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,pop pay nil.pdf,	Pop Pay,,,,	Social Media,,"	Non-Binding, Twice a Week",	instagram/ ,	I will be posting twice a week,	Other,	PopPay Credit,"	$250 initial pop pay credits, subjective after"
